model_type,train_ratio,epoch,learning_rate,hidden_size,batch_size,pooling_style,accuracy
fast_text,0.8,15,0.001,128,64,avg,0.8698915763135947
fast_text,0.8,15,0.001,128,64,max,0.8707256046705588
fast_text,0.8,15,0.001,128,128,avg,0.8736447039199333
fast_text,0.8,15,0.001,128,128,max,0.8653044203502919
fast_text,0.8,15,0.0001,128,64,avg,0.8219349457881568
fast_text,0.8,15,0.0001,128,64,max,0.8052543786488741
fast_text,0.8,15,0.0001,128,128,avg,0.7752293577981652
fast_text,0.8,15,0.0001,128,128,max,0.7510425354462051
bert,0.8,15,0.001,128,64,avg,0.6488740617180984
bert,0.8,15,0.001,128,64,max,0.6488740617180984
bert,0.8,15,0.001,128,128,avg,0.6488740617180984
bert,0.8,15,0.001,128,128,max,0.3511259382819016
bert,0.8,15,0.0001,128,64,avg,0.8924103419516264
bert,0.8,15,0.0001,128,64,max,0.8974145120934112
bert,0.8,15,0.0001,128,128,avg,0.8849040867389492
bert,0.8,15,0.0001,128,128,max,0.8882402001668057
lstm,0.8,15,0.001,128,64,avg,0.8653044203502919
lstm,0.8,15,0.001,128,64,max,0.8690575479566305
lstm,0.8,15,0.001,128,128,avg,0.8623853211009175
lstm,0.8,15,0.001,128,128,max,0.8715596330275229
lstm,0.8,15,0.0001,128,64,avg,0.8698915763135947
lstm,0.8,15,0.0001,128,64,max,0.8786488740617181
lstm,0.8,15,0.0001,128,128,avg,0.8736447039199333
lstm,0.8,15,0.0001,128,128,max,0.872393661384487
gru,0.8,15,0.001,128,64,avg,0.8686405337781484
gru,0.8,15,0.001,128,64,max,0.8736447039199333
gru,0.8,15,0.001,128,128,avg,0.8648874061718098
gru,0.8,15,0.001,128,128,max,0.871976647206005
gru,0.8,15,0.0001,128,64,avg,0.8740617180984154
gru,0.8,15,0.0001,128,64,max,0.8844870725604671
gru,0.8,15,0.0001,128,128,avg,0.8790658882402002
gru,0.8,15,0.0001,128,128,max,0.878231859883236
rnn,0.8,15,0.001,128,64,avg,0.8665554628857381
rnn,0.8,15,0.001,128,64,max,0.8644703919933278
rnn,0.8,15,0.001,128,128,avg,0.8623853211009175
rnn,0.8,15,0.001,128,128,max,0.8678065054211843
rnn,0.8,15,0.0001,128,64,avg,0.8732276897414513
rnn,0.8,15,0.0001,128,64,max,0.8748957464553795
rnn,0.8,15,0.0001,128,128,avg,0.8703085904920768
rnn,0.8,15,0.0001,128,128,max,0.8765638031693077
cnn,0.8,15,0.001,128,64,avg,0.8657214345287739
cnn,0.8,15,0.001,128,64,max,0.8715596330275229
cnn,0.8,15,0.001,128,128,avg,0.8707256046705588
cnn,0.8,15,0.001,128,128,max,0.8728106755629691
cnn,0.8,15,0.0001,128,64,avg,0.859883236030025
cnn,0.8,15,0.0001,128,64,max,0.8836530442035029
cnn,0.8,15,0.0001,128,128,avg,0.8502919099249374
cnn,0.8,15,0.0001,128,128,max,0.8807339449541285
gated_cnn,0.8,15,0.001,128,64,avg,0.8753127606338615
gated_cnn,0.8,15,0.001,128,64,max,0.8761467889908257
gated_cnn,0.8,15,0.001,128,128,avg,0.8757297748123436
gated_cnn,0.8,15,0.001,128,128,max,0.8773978315262719
gated_cnn,0.8,15,0.0001,128,64,avg,0.8648874061718098
gated_cnn,0.8,15,0.0001,128,64,max,0.8869891576313594
gated_cnn,0.8,15,0.0001,128,128,avg,0.8607172643869891
gated_cnn,0.8,15,0.0001,128,128,max,0.8798999165971643
stack_gated_cnn,0.8,15,0.001,128,64,avg,0.859466221851543
stack_gated_cnn,0.8,15,0.001,128,64,max,0.8824020016680567
stack_gated_cnn,0.8,15,0.001,128,128,avg,0.8678065054211843
stack_gated_cnn,0.8,15,0.001,128,128,max,0.8807339449541285
stack_gated_cnn,0.8,15,0.0001,128,64,avg,0.8769808173477899
stack_gated_cnn,0.8,15,0.0001,128,64,max,0.8840700583819849
stack_gated_cnn,0.8,15,0.0001,128,128,avg,0.8665554628857381
stack_gated_cnn,0.8,15,0.0001,128,128,max,0.8857381150959133
rcnn,0.8,15,0.001,128,64,avg,0.8648874061718098
rcnn,0.8,15,0.001,128,64,max,0.8773978315262719
rcnn,0.8,15,0.001,128,128,avg,0.8786488740617181
rcnn,0.8,15,0.001,128,128,max,0.8657214345287739
rcnn,0.8,15,0.0001,128,64,avg,0.8707256046705588
rcnn,0.8,15,0.0001,128,64,max,0.8761467889908257
rcnn,0.8,15,0.0001,128,128,avg,0.859466221851543
rcnn,0.8,15,0.0001,128,128,max,0.8748957464553795
bert_lstm,0.8,15,0.001,128,64,avg,0.6488740617180984
bert_lstm,0.8,15,0.001,128,64,max,0.6488740617180984
bert_lstm,0.8,15,0.001,128,128,avg,0.6488740617180984
bert_lstm,0.8,15,0.001,128,128,max,0.6488740617180984
bert_lstm,0.8,15,0.0001,128,64,avg,0.6488740617180984
bert_lstm,0.8,15,0.0001,128,64,max,0.6488740617180984
bert_lstm,0.8,15,0.0001,128,128,avg,0.6488740617180984
bert_lstm,0.8,15,0.0001,128,128,max,0.8673894912427023
bert_cnn,0.8,15,0.001,128,64,avg,0.6488740617180984
bert_cnn,0.8,15,0.001,128,64,max,0.6488740617180984
bert_cnn,0.8,15,0.001,128,128,avg,0.6488740617180984
bert_cnn,0.8,15,0.001,128,128,max,0.6488740617180984
bert_cnn,0.8,15,0.0001,128,64,avg,0.6488740617180984
bert_cnn,0.8,15,0.0001,128,64,max,0.6488740617180984
bert_cnn,0.8,15,0.0001,128,128,avg,0.8657214345287739
bert_cnn,0.8,15,0.0001,128,128,max,0.6488740617180984
bert_mid_layer,0.8,15,0.001,128,64,avg,0.6488740617180984
bert_mid_layer,0.8,15,0.001,128,64,max,0.6488740617180984
bert_mid_layer,0.8,15,0.001,128,128,avg,0.6488740617180984
bert_mid_layer,0.8,15,0.001,128,128,max,0.6488740617180984
bert_mid_layer,0.8,15,0.0001,128,64,avg,0.859466221851543
bert_mid_layer,0.8,15,0.0001,128,64,max,0.8486238532110092
bert_mid_layer,0.8,15,0.0001,128,128,avg,0.8698915763135947
bert_mid_layer,0.8,15,0.0001,128,128,max,0.8577981651376146
